Time(Sec),Lat(deg),Long(deg),UTM_x(m),UTM_y(m)
151.2423555851,59.6608880713,10.6773659717,6614840.1190512115,594508.8104342518
151.2423744202,59.6608894112,10.6773710550,6614840.2754640309,594509.0930372211
152.4950141907,59.6608909017,10.6773760050,6614840.4484620402,594509.3677047739
154.0412619114,59.6608928548,10.6773811200,6614840.6732076555,594509.6503657734
156.3514642715,59.6608946790,10.6773860467,6614840.8833224587,594509.9227798500
156.3514678478,59.6608973295,10.6773909933,6614841.1854685443,594510.1939953398
156.4971225262,59.6609002110,10.6773951733,6614841.5122422604,594510.4213700674
156.4971456528,59.6609022110,10.6773989100,6614841.7402398018,594510.6262497887
156.6659009457,59.6609041423,10.6774027233,6614841.9607012616,594510.8356417797
157.5888772011,59.6609060755,10.6774063400,6614842.1810868364,594511.0339492377
158.5254704952,59.6609079223,10.6774100650,6614842.3920144383,594511.2386026443
159.5263772011,59.6609097230,10.6774139533,6614842.5980344787,594511.4525874328
160.5254783630,59.6609098730,10.6774183517,6614842.6209978089,594511.6999483746
161.5254704952,59.6609114813,10.6774232217,6614842.8070015032,594511.9697771971
162.5248470306,59.6609131205,10.6774282667,6614842.9966873294,594512.2493779680
163.5245077610,59.6609148015,10.6774331017,6614843.1907318365,594512.5170305020
164.5253489017,59.6609164940,10.6774379817,6614843.3861208260,594512.7871857514
164.5253489017,59.6609180338,10.6774424567,6614843.5639354801,594513.0349546446
165.5260014534,59.6609197710,10.6774472133,6614843.7641220205,594513.2980360821
166.5246930122,59.6609215432,10.6774520817,6614843.9683644287,594513.5673098131
167.5247240067,59.6609232508,10.6774566100,6614844.1649414012,594513.8176109036
168.5251142979,59.6609252065,10.6774614050,6614844.3895100588,594514.0822369134
169.5256190300,59.6609269505,10.6774658150,6614844.5899638757,594514.3257693194
170.5249803066,59.6609290685,10.6774707533,6614844.8328106264,594514.5980132212
171.5260386467,59.6609318962,10.6774748250,6614845.1534366347,594514.8194357993
172.5315091610,59.6609338998,10.6774790917,6614845.3825973272,594515.0541626117
173.5246217251,59.6609361348,10.6774827667,6614845.6366718840,594515.2549064865
174.7641239166,59.6609380888,10.6774865900,6614845.8596715219,594515.4647975517
175.5250244141,59.6609401883,10.6774900683,6614846.0983796911,594515.6548433485
177.0946252346,59.6609406788,10.6774942183,6614846.1589004835,594515.8872558174
177.5263018608,59.6609417118,10.6774992650,6614846.2810992440,594516.1686558725
178.5248963833,59.6609432778,10.6775040333,6614846.4622451700,594516.4328758882
179.5251574516,59.6609442242,10.6775080267,6614846.5732947644,594516.6551796236
179.5251574516,59.6609457398,10.6775126933,6614846.7486919155,594516.9138137889
180.6229343414,59.6609470765,10.6775173567,6614846.9041547319,594517.1727638817
181.5249936581,59.6609488013,10.6775221933,6614847.1030823076,594517.4403864190
182.5252447128,59.6609512002,10.6775276817,6614847.3779800385,594517.7428241931
183.6223397255,59.6609543065,10.6775326767,6614847.7309473632,594518.0154786502
184.5250957012,59.6609564905,10.6775363400,6614847.9793272000,594518.2157084700
186.5219857693,59.6609588003,10.6775400183,6614848.2417385168,594518.4164291746
186.6272358894,59.6609606020,10.6775438617,6614848.4478062391,594518.6278753135
187.5267498493,59.6609625157,10.6775476267,6614848.6662323503,594518.8345932818
188.5249316692,59.6609645908,10.6775515233,6614848.9028271427,594519.0482742445
189.5262997150,59.6609665223,10.6775554983,6614849.1235378487,594519.2667724451
190.5273876190,59.6609684382,10.6775593650,6614849.3423500014,594519.4792116896
191.5250823498,59.6609701305,10.6775633417,6614849.5364346281,594519.6984768063
192.5261113644,59.6609713265,10.6775680433,6614849.6762905978,594519.9599819931
193.5251464844,59.6609718413,10.6775724283,6614849.7398555335,594520.2055645521
194.5255584717,59.6609733437,10.6775774250,6614849.9142383309,594520.4828265897
195.5245029926,59.6609746998,10.6775824867,6614850.0724397236,594520.7641617673
195.5245029926,59.6609763842,10.6775871800,6614850.2666542409,594521.0238231022
196.5257697105,59.6609780803,10.6775917567,6614850.4620201550,594521.2768786270
197.5247604847,59.6609805285,10.6775972233,6614850.7423800519,594521.5779564013
198.5252122879,59.6609829480,10.6776015017,6614851.0178560801,594521.8121694053
199.5250470638,59.6609852935,10.6776055967,6614851.2848320035,594522.0362624520
200.5251615047,59.6609876022,10.6776095883,6614851.5475598220,594522.2546377889
201.5250132084,59.6609895218,10.6776133250,6614851.7666138224,594522.4597423114
202.5247240067,59.6609915457,10.6776171917,6614851.9974507233,594522.6718772672
203.5244393349,59.6609935547,10.6776211167,6614852.2267191848,594522.8873401816
204.5246844292,59.6609954118,10.6776250200,6614852.4390518973,594523.1020097795
205.5250763893,59.6609973585,10.6776287450,6614852.6610954758,594523.3063809666
206.5249688625,59.6609984860,10.6776330867,6614852.7928123595,594523.5477978009
207.5247187614,59.6609990908,10.6776377833,6614852.8668418266,594523.8106847075
208.5265953541,59.6610004542,10.6776428050,6614853.0257844366,594524.0897459334
209.5255477428,59.6610018833,10.6776475300,6614853.1916343914,594524.3519089874
210.5275013447,59.6610034123,10.6776522883,6614853.3686471358,594524.6156688973
210.5275013447,59.6610050587,10.6776568717,6614853.5584744141,594524.8692398452
211.5271277428,59.6610077813,10.6776621883,6614853.8691834379,594525.1610942145
212.5272507668,59.6610105358,10.6776664200,6614854.1818916658,594525.3917349306
213.5276074409,59.6610129530,10.6776698983,6614854.4559689052,594525.5808856065
214.5272333622,59.6610150083,10.6776733283,6614854.6896913154,594525.7683317297
215.5268111229,59.6610168982,10.6776770017,6614854.9053337192,594525.9699519204
216.5266139507,59.6610189930,10.6776804067,6614855.1434184220,594526.1558784381
217.5267131329,59.6610206883,10.6776842000,6614855.3375763828,594526.3648062504
218.5286214352,59.6610218572,10.6776886400,6614855.4740354987,594526.6116461295
219.5277194977,59.6610226612,10.6776935533,6614855.5705486657,594526.8861782617
220.5271513462,59.6610242042,10.6776985000,6614855.7493885336,594527.1605083280
221.5273933411,59.6610257907,10.6777033983,6614855.9330028174,594527.4319930570
222.5272388458,59.6610273988,10.6777081633,6614856.1188395796,594527.6959053836
223.5271689892,59.6610289813,10.6777130167,6614856.3019444626,594527.9648662219
224.5300199986,59.6610306658,10.6777175533,6614856.4959549401,594528.2157003916
225.5262489319,59.6610324193,10.6777222733,6614856.6979088811,594528.4766685001
225.5262489319,59.6610341352,10.6777265700,6614856.8950662138,594528.7138939190
226.5271430016,59.6610357967,10.6777309733,6614857.0863260729,594528.9572813506
227.5270819664,59.6610376993,10.6777354700,6614857.3045700202,594529.2052479587
228.5278818607,59.6610407552,10.6777404083,6614857.6518348986,594529.4748503786
229.5276818275,59.6610436005,10.6777440817,6614857.9738615202,594529.6737808830
230.5340452194,59.6610455800,10.6777473567,6614858.1989202257,594529.8527080138
232.3187458515,59.6610476967,10.6777510033,6614858.4397801803,594530.0521870597
232.5546357632,59.6610497417,10.6777544683,6614858.6724021640,594530.2416335212
234.0312590599,59.6610516427,10.6777581700,6614858.8893284481,594530.4448179753
234.5264534950,59.6610534527,10.6777617100,6614859.0958926976,594530.6391509733
235.7307312489,59.6610547915,10.6777662150,6614859.2513722256,594530.8891737715
236.5298027992,59.6610557867,10.6777705433,6614859.3683368117,594531.1302112440
237.5265564919,59.6610572172,10.6777752900,6614859.5343665760,594531.3935903899
238.5265152454,59.6610588110,10.6777799917,6614859.7185175726,594531.6539746982
239.5268881321,59.6610604338,10.6777847933,6614859.9060398238,594531.9199108977
240.5269455910,59.6610611485,10.6777868917,6614859.9885981409,594532.0361098421
240.5269455910,59.6610611843,10.6777868250,6614859.9924928313,594532.0322532906
241.5267980099,59.6610611547,10.6777868200,6614859.9891826659,594532.0320551143
242.5272097588,59.6610611520,10.6777868783,6614859.9889688389,594532.0353488520
243.5270743370,59.6610612278,10.6777868900,6614859.9974286286,594532.0357926558
