Time(Sec),Roll(rad),Pitch(rad),Yaw(rad),A_x(m/s2),A_y(m/s2),A_z(m/s2)
1.349144,0.108150,-0.006040,3.056131,0.081274,1.045224,9.704350
1.349312,0.108136,-0.006037,3.056097,0.074239,1.028224,9.704759
1.349398,0.108154,-0.006051,3.056076,0.079006,1.024515,9.701359
1.349439,0.108154,-0.006033,3.056085,0.081544,1.019060,9.696204
1.349602,0.108158,-0.006041,3.056085,0.065746,1.047876,9.691641
1.363036,0.108144,-0.006042,3.056094,0.075097,1.037154,9.710508
1.363111,0.108141,-0.006037,3.056050,0.064490,1.037575,9.704826
1.363126,0.108142,-0.006056,3.056055,0.071579,1.040361,9.699626
1.363138,0.108115,-0.006053,3.056041,0.074828,1.033953,9.699546
1.629151,0.108079,-0.006039,3.056017,0.081407,1.025424,9.707311
1.629193,0.108077,-0.006036,3.056011,0.093181,1.024434,9.697899
1.629206,0.108071,-0.006029,3.055969,0.086908,1.044346,9.710015
1.629308,0.108086,-0.006017,3.055949,0.083180,1.041195,9.699639
1.629332,0.108110,-0.006010,3.055922,0.077897,1.048395,9.709742
1.655816,0.108104,-0.005997,3.055908,0.062192,1.052899,9.701516
1.656140,0.108151,-0.006017,3.055924,0.086031,1.046048,9.716137
1.656181,0.108127,-0.006026,3.055937,0.084115,1.046680,9.711593
1.656430,0.108121,-0.006027,3.055879,0.074948,1.041428,9.699993
2.388680,0.108127,-0.006019,3.055899,0.067229,1.048649,9.715899
2.388694,0.108114,-0.006038,3.055898,0.073872,1.047257,9.704319
2.388702,0.108105,-0.006026,3.055883,0.071121,1.038667,9.710017
2.388707,0.108098,-0.006004,3.055880,0.078796,1.036092,9.700255
2.388723,0.108089,-0.006013,3.055881,0.079942,1.046060,9.708312
2.442052,0.108082,-0.006002,3.055882,0.073145,1.042405,9.707109
2.442068,0.108051,-0.005996,3.055841,0.090762,1.029725,9.705377
2.442079,0.108083,-0.005984,3.055790,0.076718,1.037536,9.719789
2.442196,0.108061,-0.006000,3.055788,0.087369,1.029025,9.695718
2.455780,0.108079,-0.006007,3.055771,0.081936,1.048396,9.705036
2.455796,0.108091,-0.006010,3.055766,0.061564,1.036348,9.714103
2.455801,0.108091,-0.006030,3.055736,0.075740,1.027479,9.718387
2.455806,0.108051,-0.006037,3.055752,0.079409,1.038306,9.697371
2.455810,0.108052,-0.006047,3.055721,0.080906,1.035558,9.712564
2.482018,0.108080,-0.006030,3.055690,0.082030,1.025578,9.716318
2.482108,0.108071,-0.006020,3.055650,0.071176,1.034217,9.719325
2.482117,0.108050,-0.006023,3.055627,0.069138,1.039897,9.708814
2.482124,0.108045,-0.006002,3.055575,0.076158,1.035927,9.713768
2.522086,0.108039,-0.006012,3.055540,0.067421,1.054129,9.701281
2.522165,0.108011,-0.006021,3.055563,0.063691,1.042518,9.700106
2.522181,0.108023,-0.006031,3.055501,0.068872,1.045971,9.699251
2.522201,0.108033,-0.006025,3.055488,0.075105,1.031864,9.693496
2.522212,0.108027,-0.006031,3.055470,0.064106,1.051907,9.710443
3.388318,0.108055,-0.006037,3.055465,0.086069,1.038456,9.703385
3.388331,0.108077,-0.006053,3.055492,0.072683,1.037418,9.694095
3.388347,0.108088,-0.006044,3.055491,0.072224,1.037107,9.697829
3.388446,0.108086,-0.006032,3.055471,0.076877,1.039901,9.704695
3.401653,0.108081,-0.006045,3.055438,0.072033,1.043857,9.696502
3.401689,0.108114,-0.006038,3.055418,0.070319,1.053468,9.716839
3.401713,0.108085,-0.006043,3.055410,0.088003,1.024244,9.696086
3.401718,0.108087,-0.006043,3.055354,0.075631,1.035791,9.697830
3.401721,0.108099,-0.006031,3.055337,0.082794,1.031470,9.704978
3.442271,0.108098,-0.006012,3.055257,0.065990,1.047461,9.706962
3.442319,0.108127,-0.005986,3.055216,0.086340,1.031256,9.713912
3.442373,0.108143,-0.005992,3.055225,0.083807,1.027840,9.702573
3.442410,0.108085,-0.005987,3.055261,0.080598,1.037483,9.704987
3.495209,0.108067,-0.005979,3.055257,0.070946,1.032405,9.700401
3.495628,0.108067,-0.005971,3.055249,0.078977,1.040655,9.706518
3.495676,0.108114,-0.005992,3.055261,0.073753,1.038619,9.701792
3.495696,0.108116,-0.006005,3.055260,0.075706,1.039802,9.708813
3.495710,0.108103,-0.006015,3.055231,0.082477,1.024218,9.694145
4.214749,0.108093,-0.005997,3.055206,0.084606,1.029035,9.718266
4.214761,0.108082,-0.006001,3.055221,0.066594,1.036971,9.694703
4.214765,0.108101,-0.005989,3.055189,0.067381,1.039317,9.711559
4.214768,0.108082,-0.005985,3.055192,0.071992,1.037547,9.703512
4.228158,0.108079,-0.005979,3.055172,0.060829,1.050041,9.702728
4.228166,0.108072,-0.005969,3.055174,0.077095,1.031950,9.703404
4.228168,0.108049,-0.005979,3.055177,0.080336,1.048501,9.707235
4.228171,0.108093,-0.005955,3.055132,0.081586,1.040430,9.713502
4.228175,0.108109,-0.005961,3.055141,0.079160,1.031782,9.708707
4.254919,0.108124,-0.005968,3.055103,0.065594,1.047918,9.708049
4.254931,0.108131,-0.005954,3.055105,0.053204,1.072217,9.699633
4.254942,0.108109,-0.005953,3.055039,0.068887,1.036885,9.707132
4.254949,0.108128,-0.005954,3.055021,0.074766,1.048356,9.695859
4.281954,0.108127,-0.005945,3.055047,0.083917,1.042617,9.702895
4.282003,0.108116,-0.005953,3.055091,0.078377,1.047449,9.705544
4.282019,0.108139,-0.005946,3.055088,0.082431,1.042518,9.705552
4.282111,0.108122,-0.005918,3.055079,0.076999,1.042594,9.710129
4.282223,0.108069,-0.005948,3.055115,0.083495,1.026714,9.706469
4.987757,0.108095,-0.005932,3.055078,0.070189,1.034847,9.695769
4.987769,0.108126,-0.005930,3.055079,0.060553,1.053745,9.703429
4.987772,0.108162,-0.005930,3.055061,0.064397,1.041386,9.697805
4.987776,0.108130,-0.005910,3.055001,0.085522,1.042327,9.692429
5.001019,0.108145,-0.005910,3.054965,0.084334,1.026946,9.697751
5.001032,0.108120,-0.005901,3.054954,0.069085,1.038913,9.695184
5.001036,0.108101,-0.005890,3.054950,0.076879,1.040791,9.711101
5.001039,0.108110,-0.005894,3.054922,0.076977,1.044961,9.699009
5.001042,0.108092,-0.005913,3.054984,0.079537,1.029514,9.694139
5.027726,0.108071,-0.005927,3.055012,0.083478,1.030825,9.701724
5.027738,0.108066,-0.005930,3.054949,0.071559,1.045218,9.701676
5.027746,0.108080,-0.005920,3.054945,0.080028,1.046736,9.716634
5.027750,0.108082,-0.005919,3.054857,0.083626,1.025867,9.708365
