Img_Time(Sec),GPS_Time(Sec),Lat(deg),Long(deg),UTM_x(m),UTM_y(m)
18.03405,18.08245,59.6606390493,10.6767310117,6614811.489,594473.740
18.19360,18.13532,59.6606452912,10.6767463750,6614812.206,594474.588
18.38174,18.13532,59.6606452912,10.6767463750,6614812.206,594474.588
18.52276,18.13532,59.6606452912,10.6767463750,6614812.206,594474.588
18.69149,19.00504,59.6606472337,10.6767510483,6614812.429,594474.846
18.85970,19.00504,59.6606472337,10.6767510483,6614812.429,594474.846
19.02154,19.00504,59.6606472337,10.6767510483,6614812.429,594474.846
19.18657,19.00504,59.6606472337,10.6767510483,6614812.429,594474.846
19.35505,19.00504,59.6606472337,10.6767510483,6614812.429,594474.846
19.51673,20.00129,59.6606491370,10.6767556767,6614812.648,594475.101
19.68546,20.00129,59.6606491370,10.6767556767,6614812.648,594475.101
19.84924,20.00129,59.6606491370,10.6767556767,6614812.648,594475.101
20.01377,20.00129,59.6606491370,10.6767556767,6614812.648,594475.101
20.18148,20.00129,59.6606491370,10.6767556767,6614812.648,594475.101
20.36226,20.00129,59.6606491370,10.6767556767,6614812.648,594475.101
20.51097,20.00129,59.6606491370,10.6767556767,6614812.648,594475.101
20.67868,21.11221,59.6606510742,10.6767601683,6614812.870,594475.349
20.84142,21.11221,59.6606510742,10.6767601683,6614812.870,594475.349
21.01055,21.11221,59.6606510742,10.6767601683,6614812.870,594475.349
21.21224,21.11221,59.6606510742,10.6767601683,6614812.870,594475.349
21.33828,21.11221,59.6606510742,10.6767601683,6614812.870,594475.349
21.50955,21.11221,59.6606510742,10.6767601683,6614812.870,594475.349
21.71287,22.06040,59.6606527847,10.6767649133,6614813.067,594475.611
21.83590,22.06040,59.6606527847,10.6767649133,6614813.067,594475.611
22.00428,22.06040,59.6606527847,10.6767649133,6614813.067,594475.611
22.20775,22.06040,59.6606527847,10.6767649133,6614813.067,594475.611
22.33125,22.06040,59.6606527847,10.6767649133,6614813.067,594475.611
22.51286,22.06040,59.6606527847,10.6767649133,6614813.067,594475.611
