Time(Sec),Lat(deg),Long(deg),UTM_x(m),UTM_y(m)
21.6107990742,59.6611075407,10.6749094333,6614861.0594085986,594369.8029097143
22.5704233646,59.6611094847,10.6749141317,6614861.2825306263,594370.0621297900
23.5697321892,59.6611110497,10.6749187867,6614861.4633937133,594370.3199735570
24.5692830086,59.6611127798,10.6749234417,6614861.6626462489,594370.5773532097
25.5896973610,59.6611146123,10.6749283567,6614861.8736621123,594370.8490924882
26.5838019848,59.6611164263,10.6749331400,6614862.0824310333,594371.1134662295
27.6302132607,59.6611182857,10.6749378250,6614862.2961075250,594371.3721729186
28.5962400436,59.6611201472,10.6749425817,6614862.5101271570,594371.6349108566
29.6022443771,59.6611218583,10.6749473783,6614862.7074657688,594371.9003245952
30.6075160503,59.6611237598,10.6749519533,6614862.9256807007,594372.1527158250
31.6395134926,59.6611256053,10.6749567400,6614863.1379616233,594372.4171886924
32.6441900730,59.6611275263,10.6749614233,6614863.3585017202,594372.6756280645
33.6220593452,59.6611293505,10.6749661717,6614863.5683529535,594372.9380012949
34.6260859966,59.6611308915,10.6749705100,6614863.7460938897,594373.1780726823
35.6443362236,59.6611326978,10.6749753267,6614863.9540567743,594373.4443455482
36.6968050003,59.6611345368,10.6749800000,6614864.1654529562,594373.7024518636
36.6968050003,59.6611364528,10.6749848450,6614864.3856663024,594373.9700126820
37.6863660812,59.6611381743,10.6749893250,6614864.5837053508,594374.2175576109
38.6897056103,59.6611399763,10.6749941567,6614864.7912071701,594374.4846875651
39.6924757957,59.6611418555,10.6749987883,6614865.0070162853,594374.7403335928
40.6817722321,59.6611436283,10.6750034800,6614865.2110717157,594374.9996585018
41.6981487274,59.6611453165,10.6750079600,6614865.4053995451,594375.2472969871
42.6867749691,59.6611470710,10.6750125617,6614865.6072858395,594375.5016031797
43.7024524212,59.6611489158,10.6750173967,6614865.8195614982,594375.7688004130
44.7043304443,59.6611507472,10.6750220383,6614866.0300592221,594376.0251440601
45.6939866543,59.6611525912,10.6750265933,6614866.2418440310,594376.2765696929
46.8130006790,59.6611542413,10.6750314167,6614866.4324292317,594376.5436566068
47.7721178532,59.6611559707,10.6750361417,6614866.6316889515,594376.8049813972
48.8975286484,59.6611577768,10.6750408300,6614866.8394510746,594377.0640246292
49.7015302181,59.6611595872,10.6750455800,6614867.0477648089,594377.3265301328
51.1583392620,59.6611614097,10.6750504533,6614867.2576085394,594377.5959494360
51.7032699585,59.6611631105,10.6750550850,6614867.4535624767,594377.8520962400
52.7311041355,59.6611648692,10.6750597567,6614867.6560123917,594378.1103339132
52.7311041355,59.6611666070,10.6750644283,6614867.8561427686,594378.3686301016
53.7187628746,59.6611684090,10.6750692100,6614868.0635737982,594378.6329428285
54.7199487686,59.6611702582,10.6750737683,6614868.2759387726,594378.8845414418
55.7206466198,59.6611721697,10.6750785200,6614868.4955187654,594379.1468563477
56.7755465508,59.6611736857,10.6750829750,6614868.6706425250,594379.3935698232
57.7227783203,59.6611754342,10.6750878850,6614868.8722994793,594379.6652624672
58.7238235474,59.6611772965,10.6750926267,6614869.0863911603,594379.9271520968
59.7699460983,59.6611790602,10.6750973867,6614869.2895235121,594380.1903517745
60.7249305248,59.6611808853,10.6751018617,6614869.4990979778,594380.4373230559
61.7393698692,59.6611823777,10.6751064083,6614869.6717171455,594380.6892669755
62.7675518990,59.6611841670,10.6751113000,6614869.8778944584,594380.9598119167
63.7276220322,59.6611859603,10.6751161550,6614870.0844650073,594381.2282799623
64.7281033993,59.6611878407,10.6751210483,6614870.3007765487,594381.4986630115
65.7461419106,59.6611896300,10.6751256250,6614870.5065060249,594381.7514622652
66.7429335117,59.6611914077,10.6751304550,6614870.7112967800,594382.0185658673
67.7301034927,59.6611932680,10.6751350733,6614870.9249905841,594382.2735128426
67.7301034927,59.6611950632,10.6751397267,6614871.1314785993,594382.5306146522
68.7178435326,59.6611968787,10.6751442883,6614871.3401001794,594382.7824952310
70.3573861122,59.6611982705,10.6751486617,6614871.5012835106,594383.0249565743
70.6509439945,59.6612000262,10.6751534133,6614871.7035135264,594383.2877089354
72.2028551102,59.6612018282,10.6751581467,6614871.9108761810,594383.5492982490
72.6511361599,59.6612036145,10.6751628083,6614872.1163926451,594383.8068942041
73.6533808708,59.6612054205,10.6751676667,6614872.3243784346,594384.0755141194
74.6385686398,59.6612073533,10.6751723700,6614872.5462652957,594384.3350456157
75.6402821541,59.6612091232,10.6751769983,6614872.7498973273,594384.5908100129
76.6402149200,59.6612109230,10.6751816533,6614872.9569074586,594384.8479923463
