Time(Sec),Roll(rad),Pitch(rad),Yaw(rad),A_x(m/s2),A_y(m/s2),A_z(m/s2)
0.847073,-0.050583,-0.106920,0.164408,1.041510,-0.506794,9.698956
0.913927,-0.050582,-0.106904,0.164424,1.031720,-0.513356,9.683507
0.914576,-0.050586,-0.106926,0.164427,1.018262,-0.500282,9.691887
0.914580,-0.050601,-0.106904,0.164428,1.037618,-0.500162,9.699286
0.914584,-0.050609,-0.106900,0.164468,1.044832,-0.513871,9.684366
0.914587,-0.050537,-0.106895,0.164452,1.031982,-0.497898,9.707258
0.928016,-0.050575,-0.106903,0.164473,1.036619,-0.503888,9.705327
0.928075,-0.050588,-0.106917,0.164473,1.032443,-0.489046,9.696344
0.928080,-0.050589,-0.106925,0.164471,1.030264,-0.509136,9.677940
0.954061,-0.050530,-0.106940,0.164472,1.042884,-0.504645,9.682422
0.954065,-0.050544,-0.106935,0.164480,1.056171,-0.492241,9.702059
0.980648,-0.050523,-0.106949,0.164490,1.048122,-0.498848,9.689648
0.980652,-0.050517,-0.106962,0.164499,1.061821,-0.516455,9.681857
1.020639,-0.050481,-0.106939,0.164466,1.052094,-0.504052,9.699328
1.020645,-0.050480,-0.106932,0.164461,1.055172,-0.518936,9.687662
1.020663,-0.050447,-0.106932,0.164460,1.048819,-0.505131,9.687011
1.020669,-0.050484,-0.106925,0.164465,1.036959,-0.495705,9.683570
1.033729,-0.050473,-0.106938,0.164477,1.037099,-0.506692,9.693157
1.033734,-0.050496,-0.106931,0.164483,1.035798,-0.500128,9.697477
1.033752,-0.050523,-0.106915,0.164479,1.037918,-0.512600,9.698835
1.047103,-0.050503,-0.106898,0.164480,1.043764,-0.507359,9.696550
1.076006,-0.050513,-0.106907,0.164458,1.020398,-0.496420,9.693336
1.076032,-0.050527,-0.106940,0.164447,1.011056,-0.504783,9.687667
1.087075,-0.050487,-0.106944,0.164422,1.035085,-0.503455,9.691095
1.087082,-0.050501,-0.106934,0.164419,1.046446,-0.498148,9.703631
1.153844,-0.050500,-0.106925,0.164391,1.035433,-0.497073,9.707732
1.161522,-0.050509,-0.106901,0.164404,1.041995,-0.499937,9.694118
1.165980,-0.050527,-0.106898,0.164416,1.053058,-0.502853,9.694604
1.166001,-0.050500,-0.106906,0.164396,1.038768,-0.502705,9.686882
1.166009,-0.050486,-0.106915,0.164393,1.046140,-0.501618,9.704366
1.166016,-0.050519,-0.106918,0.164422,1.054237,-0.522692,9.691991
1.167485,-0.050523,-0.106918,0.164420,1.056430,-0.510172,9.696192
1.167495,-0.050525,-0.106901,0.164418,1.039730,-0.506176,9.696662
1.180258,-0.050521,-0.106866,0.164399,1.051880,-0.502308,9.697633
1.180268,-0.050528,-0.106857,0.164413,1.046865,-0.504453,9.686998
1.244641,-0.050558,-0.106849,0.164412,1.041578,-0.515794,9.694014
1.244739,-0.050552,-0.106859,0.164428,1.022699,-0.494675,9.698648
1.244744,-0.050543,-0.106838,0.164416,1.036962,-0.499665,9.698093
1.244748,-0.050531,-0.106823,0.164362,1.032009,-0.501509,9.693985
1.244914,-0.050516,-0.106805,0.164352,1.045715,-0.515432,9.688251
1.277363,-0.050499,-0.106820,0.164371,1.030961,-0.505647,9.692778
1.300224,-0.050499,-0.106833,0.164374,1.041329,-0.484849,9.692366
1.300277,-0.050511,-0.106833,0.164349,1.046393,-0.501137,9.697488
1.300282,-0.050492,-0.106847,0.164313,1.040388,-0.508626,9.675781
1.300363,-0.050490,-0.106824,0.164315,1.043878,-0.510082,9.678576
1.300366,-0.050472,-0.106845,0.164307,1.041372,-0.509862,9.694722
1.353509,-0.050454,-0.106864,0.164331,1.037709,-0.517100,9.682674
1.353528,-0.050447,-0.106852,0.164330,1.037926,-0.502022,9.687110
1.354121,-0.050409,-0.106848,0.164339,1.046944,-0.502083,9.689299
1.354149,-0.050408,-0.106826,0.164350,1.037545,-0.508306,9.699445
1.354198,-0.050375,-0.106799,0.164361,1.046366,-0.508062,9.701268
1.354206,-0.050377,-0.106787,0.164329,1.047275,-0.514777,9.684987
1.407186,-0.050371,-0.106783,0.164337,1.054213,-0.507272,9.693778
1.407450,-0.050378,-0.106784,0.164351,1.033557,-0.503210,9.690241
1.407465,-0.050381,-0.106774,0.164350,1.040277,-0.505340,9.687005
1.407474,-0.050354,-0.106771,0.164349,1.038826,-0.505309,9.695211
1.407482,-0.050336,-0.106783,0.164350,1.030387,-0.505114,9.694950
1.473985,-0.050324,-0.106800,0.164344,1.045538,-0.507051,9.682297
1.473997,-0.050349,-0.106775,0.164350,1.042021,-0.490838,9.696380
1.513639,-0.050325,-0.106774,0.164340,1.046852,-0.499970,9.692666
1.513643,-0.050353,-0.106766,0.164341,1.044990,-0.509251,9.693649
1.513647,-0.050301,-0.106756,0.164336,1.032508,-0.505376,9.694007
1.513650,-0.050320,-0.106762,0.164347,1.030637,-0.491403,9.690194
1.513688,-0.050300,-0.106765,0.164335,1.033842,-0.500248,9.695189
1.513693,-0.050301,-0.106778,0.164334,1.041769,-0.495619,9.705668
1.553996,-0.050261,-0.106789,0.164326,1.044203,-0.497949,9.691446
1.554009,-0.050252,-0.106781,0.164340,1.060002,-0.502773,9.697516
1.554023,-0.050242,-0.106758,0.164336,1.067413,-0.509138,9.680651
1.554036,-0.050236,-0.106742,0.164306,1.046469,-0.495060,9.681185
1.573527,-0.050230,-0.106749,0.164321,1.035431,-0.499832,9.692396
1.573544,-0.050212,-0.106756,0.164332,1.049313,-0.503986,9.694238
1.573570,-0.050195,-0.106743,0.164316,1.019859,-0.509077,9.695199
1.573586,-0.050177,-0.106735,0.164337,1.047635,-0.527184,9.682371
1.573614,-0.050173,-0.106750,0.164358,1.072907,-0.486148,9.796303
1.580243,-0.050189,-0.106788,0.164395,1.187247,-0.476864,9.515307
1.736114,-0.050160,-0.106843,0.164419,1.259863,-0.531917,9.793602
1.736148,-0.050143,-0.107031,0.164438,1.737707,-0.541983,9.570618
1.736152,-0.050127,-0.107180,0.164476,2.139490,-0.530153,9.939197
1.736156,-0.050125,-0.107449,0.164564,2.196732,-0.315657,9.282011
1.736166,-0.050074,-0.107780,0.164605,2.331578,-0.735546,9.491621
1.753299,-0.050061,-0.108047,0.164622,2.020642,-0.544655,9.309368
1.753356,-0.050034,-0.108470,0.164651,2.519336,-0.575840,9.364963
1.753362,-0.050013,-0.108775,0.164598,2.251733,-0.326428,9.093868
1.753405,-0.050005,-0.109313,0.164396,2.338725,-0.821398,9.532127
1.753416,-0.050074,-0.109772,0.164212,3.140313,-0.842754,9.569305
1.753436,-0.050176,-0.110097,0.164031,1.776682,-0.750103,9.678825
1.753468,-0.050260,-0.110325,0.163938,2.019054,-0.586397,9.769908
1.753471,-0.050323,-0.110297,0.163843,1.995472,-0.477641,9.829939
1.753496,-0.050310,-0.110363,0.163803,1.400940,-0.408212,9.838457
1.821361,-0.050296,-0.110592,0.163772,1.629627,-0.264906,9.818408
1.821378,-0.050240,-0.110946,0.163763,1.454789,-0.192940,9.800034
1.821395,-0.050201,-0.111520,0.163720,1.600968,-0.312507,9.720731
1.821472,-0.050131,-0.112031,0.163701,1.877911,-0.432717,9.820950
1.821486,-0.050047,-0.112399,0.163661,2.140547,-0.605978,9.440090
1.821714,-0.050052,-0.112705,0.163681,2.283450,-0.718033,9.618622
1.822123,-0.050014,-0.112778,0.163746,2.177868,-0.690420,9.752257
1.822200,-0.050058,-0.112842,0.163888,2.217617,-0.561987,9.866037
1.915729,-0.050147,-0.112929,0.164023,2.203032,-0.416209,9.838567
1.915774,-0.050227,-0.113057,0.164111,2.108190,-0.361536,9.784435
1.915813,-0.050296,-0.113258,0.164169,2.466538,-0.385520,9.777929
1.915821,-0.050399,-0.113371,0.164172,2.527376,-0.368620,9.779387
1.915832,-0.050519,-0.113412,0.164181,2.352833,-0.457052,9.723263
1.915839,-0.050596,-0.113373,0.164220,2.499926,-0.496955,9.735137
1.915864,-0.050633,-0.113331,0.164243,2.531812,-0.669059,9.781183
2.146140,-0.050674,-0.113289,0.164306,2.415589,-0.574996,9.700627
2.146411,-0.050675,-0.113236,0.164401,2.267411,-0.576090,9.645807
2.146417,-0.050653,-0.113159,0.164493,2.112631,-0.382413,9.679391
2.146420,-0.050580,-0.113101,0.164584,2.273923,-0.371482,9.583969
2.146424,-0.050475,-0.113079,0.164648,2.250974,-0.458028,9.445263
2.146427,-0.050418,-0.112913,0.164677,2.145481,-0.546453,9.388364
2.146431,-0.050351,-0.112782,0.164696,1.757355,-0.514387,9.370152
2.146434,-0.050366,-0.112537,0.164718,1.710280,-0.521451,9.150345
2.146437,-0.050351,-0.112272,0.164760,1.506381,-0.529663,9.411303
2.146441,-0.050365,-0.111956,0.164817,1.405779,-0.603391,9.626873
2.146444,-0.050375,-0.111604,0.164885,1.298712,-0.591341,9.655337
2.146447,-0.050405,-0.111220,0.164961,1.016090,-0.562682,9.660820
2.146450,-0.050470,-0.110807,0.165029,0.968062,-0.565420,9.788702
2.146453,-0.050557,-0.110297,0.165089,0.808430,-0.575054,10.078940
2.146456,-0.050595,-0.109872,0.165130,0.511202,-0.528190,9.856195
2.146459,-0.050618,-0.109509,0.165142,0.466193,-0.560082,9.834501
2.146462,-0.050590,-0.109262,0.165137,0.287156,-0.541343,9.798140
2.146465,-0.050476,-0.109069,0.165148,0.388934,-0.593795,9.796740
2.146513,-0.050376,-0.108883,0.165172,0.537136,-0.596666,9.733684
2.146516,-0.050285,-0.108736,0.165209,0.323946,-0.613202,9.516012
2.146519,-0.050127,-0.108613,0.165242,0.475804,-0.484341,9.520779
2.146523,-0.050000,-0.108337,0.165228,0.380425,-0.511512,9.408420
2.146525,-0.049933,-0.107974,0.165218,0.133503,-0.458993,9.455888
2.146528,-0.049899,-0.107606,0.165200,0.190372,-0.493912,9.516522
2.146531,-0.049910,-0.107201,0.165177,0.080088,-0.568910,9.680347
2.146534,-0.049924,-0.106885,0.165125,0.003854,-0.541375,9.849092
2.146537,-0.049928,-0.106592,0.165066,-0.103672,-0.479656,9.424396
2.166710,-0.049966,-0.106286,0.164986,-0.081623,-0.502985,9.785168
2.180173,-0.049948,-0.105997,0.164955,-0.133237,-0.572985,9.792316
2.180190,-0.049969,-0.105769,0.164933,-0.188400,-0.561938,9.806076
2.180203,-0.049937,-0.105622,0.164917,-0.171791,-0.481909,9.878780
2.193668,-0.049894,-0.105471,0.164848,-0.185403,-0.392181,9.803699
2.206613,-0.049861,-0.105342,0.164805,0.020327,-0.436139,9.733928
2.246583,-0.049812,-0.105182,0.164787,-0.088815,-0.399129,9.804428
2.246605,-0.049770,-0.105041,0.164796,-0.206893,-0.381635,9.743669
2.274158,-0.049815,-0.104960,0.164830,-0.146660,-0.383871,9.695214
2.274197,-0.049805,-0.104843,0.164868,-0.115036,-0.441799,9.732108
2.274211,-0.049818,-0.104712,0.164919,-0.059411,-0.383096,9.652242
2.274221,-0.049834,-0.104542,0.165011,-0.070212,-0.415591,9.701783
