Img_Time(Sec),GPS_Time(Sec),Lat(deg),Long(deg),UTM_x(m),UTM_y(m)
23.26649,23.56973,59.6611110497,10.6749187867,6614861.463,594370.320
23.43135,23.56973,59.6611110497,10.6749187867,6614861.463,594370.320
23.59469,23.56973,59.6611110497,10.6749187867,6614861.463,594370.320
23.76177,23.56973,59.6611110497,10.6749187867,6614861.463,594370.320
23.93230,23.56973,59.6611110497,10.6749187867,6614861.463,594370.320
24.13479,24.56928,59.6611127798,10.6749234417,6614861.663,594370.577
24.25698,24.56928,59.6611127798,10.6749234417,6614861.663,594370.577
24.46736,24.56928,59.6611127798,10.6749234417,6614861.663,594370.577
24.58799,24.56928,59.6611127798,10.6749234417,6614861.663,594370.577
24.75725,24.56928,59.6611127798,10.6749234417,6614861.663,594370.577
24.92458,24.56928,59.6611127798,10.6749234417,6614861.663,594370.577
25.10316,25.58970,59.6611146123,10.6749283567,6614861.874,594370.849
25.24998,25.58970,59.6611146123,10.6749283567,6614861.874,594370.849
25.41549,25.58970,59.6611146123,10.6749283567,6614861.874,594370.849
25.58152,25.58970,59.6611146123,10.6749283567,6614861.874,594370.849
25.74992,25.58970,59.6611146123,10.6749283567,6614861.874,594370.849
25.95003,25.58970,59.6611146123,10.6749283567,6614861.874,594370.849
26.07886,25.58970,59.6611146123,10.6749283567,6614861.874,594370.849
26.24318,26.58380,59.6611164263,10.6749331400,6614862.082,594371.113
26.40946,26.58380,59.6611164263,10.6749331400,6614862.082,594371.113
26.57983,26.58380,59.6611164263,10.6749331400,6614862.082,594371.113
26.75590,26.58380,59.6611164263,10.6749331400,6614862.082,594371.113
26.91331,26.58380,59.6611164263,10.6749331400,6614862.082,594371.113
27.08210,26.58380,59.6611164263,10.6749331400,6614862.082,594371.113
27.25961,27.63021,59.6611182857,10.6749378250,6614862.296,594371.372
27.41336,27.63021,59.6611182857,10.6749378250,6614862.296,594371.372
27.58162,27.63021,59.6611182857,10.6749378250,6614862.296,594371.372
27.75474,27.63021,59.6611182857,10.6749378250,6614862.296,594371.372
27.93839,27.63021,59.6611182857,10.6749378250,6614862.296,594371.372
28.12790,28.59624,59.6611201472,10.6749425817,6614862.510,594371.635
28.27960,28.59624,59.6611201472,10.6749425817,6614862.510,594371.635
28.41759,28.59624,59.6611201472,10.6749425817,6614862.510,594371.635
28.61547,28.59624,59.6611201472,10.6749425817,6614862.510,594371.635
28.75520,28.59624,59.6611201472,10.6749425817,6614862.510,594371.635
28.92316,28.59624,59.6611201472,10.6749425817,6614862.510,594371.635
29.08965,28.59624,59.6611201472,10.6749425817,6614862.510,594371.635
29.25888,29.60224,59.6611218583,10.6749473783,6614862.707,594371.900
29.42521,29.60224,59.6611218583,10.6749473783,6614862.707,594371.900
29.59523,29.60224,59.6611218583,10.6749473783,6614862.707,594371.900
29.76140,29.60224,59.6611218583,10.6749473783,6614862.707,594371.900
29.97236,29.60224,59.6611218583,10.6749473783,6614862.707,594371.900
30.09627,29.60224,59.6611218583,10.6749473783,6614862.707,594371.900
30.26603,30.60752,59.6611237598,10.6749519533,6614862.926,594372.153
30.43107,30.60752,59.6611237598,10.6749519533,6614862.926,594372.153
30.60103,30.60752,59.6611237598,10.6749519533,6614862.926,594372.153
30.76857,30.60752,59.6611237598,10.6749519533,6614862.926,594372.153
30.96425,30.60752,59.6611237598,10.6749519533,6614862.926,594372.153
31.10345,30.60752,59.6611237598,10.6749519533,6614862.926,594372.153
31.27061,31.63951,59.6611256053,10.6749567400,6614863.138,594372.417
31.43731,31.63951,59.6611256053,10.6749567400,6614863.138,594372.417
31.62295,31.63951,59.6611256053,10.6749567400,6614863.138,594372.417
31.77586,31.63951,59.6611256053,10.6749567400,6614863.138,594372.417
31.96806,31.63951,59.6611256053,10.6749567400,6614863.138,594372.417
32.11011,31.63951,59.6611256053,10.6749567400,6614863.138,594372.417
32.27739,32.64419,59.6611275263,10.6749614233,6614863.359,594372.676
32.44341,32.64419,59.6611275263,10.6749614233,6614863.359,594372.676
32.61492,32.64419,59.6611275263,10.6749614233,6614863.359,594372.676
32.77920,32.64419,59.6611275263,10.6749614233,6614863.359,594372.676
32.94943,32.64419,59.6611275263,10.6749614233,6614863.359,594372.676
33.11495,32.64419,59.6611275263,10.6749614233,6614863.359,594372.676
33.28287,33.62206,59.6611293505,10.6749661717,6614863.568,594372.938
33.44991,33.62206,59.6611293505,10.6749661717,6614863.568,594372.938
33.61682,33.62206,59.6611293505,10.6749661717,6614863.568,594372.938
33.78665,33.62206,59.6611293505,10.6749661717,6614863.568,594372.938
33.95397,33.62206,59.6611293505,10.6749661717,6614863.568,594372.938
34.14014,34.62609,59.6611308915,10.6749705100,6614863.746,594373.178
34.28920,34.62609,59.6611308915,10.6749705100,6614863.746,594373.178
34.45567,34.62609,59.6611308915,10.6749705100,6614863.746,594373.178
34.62565,34.62609,59.6611308915,10.6749705100,6614863.746,594373.178
34.79083,34.62609,59.6611308915,10.6749705100,6614863.746,594373.178
34.98065,34.62609,59.6611308915,10.6749705100,6614863.746,594373.178
35.14263,35.64434,59.6611326978,10.6749753267,6614863.954,594373.444
35.29228,35.64434,59.6611326978,10.6749753267,6614863.954,594373.444
35.45881,35.64434,59.6611326978,10.6749753267,6614863.954,594373.444
35.64426,35.64434,59.6611326978,10.6749753267,6614863.954,594373.444
35.79635,35.64434,59.6611326978,10.6749753267,6614863.954,594373.444
35.98296,35.64434,59.6611326978,10.6749753267,6614863.954,594373.444
36.14727,35.64434,59.6611326978,10.6749753267,6614863.954,594373.444
36.29610,36.69681,59.6611345368,10.6749800000,6614864.165,594373.702
36.46378,36.69681,59.6611345368,10.6749800000,6614864.165,594373.702
36.64597,36.69681,59.6611345368,10.6749800000,6614864.165,594373.702
36.80277,36.69681,59.6611345368,10.6749800000,6614864.165,594373.702
36.97806,36.69681,59.6611345368,10.6749800000,6614864.165,594373.702
37.15288,36.69681,59.6611345368,10.6749800000,6614864.165,594373.702
37.30524,36.69681,59.6611345368,10.6749800000,6614864.165,594373.702
37.49070,36.69681,59.6611345368,10.6749800000,6614864.165,594373.702
37.63743,36.69681,59.6611345368,10.6749800000,6614864.165,594373.702
37.80253,36.69681,59.6611345368,10.6749800000,6614864.165,594373.702
37.97891,36.69681,59.6611345368,10.6749800000,6614864.165,594373.702
38.13813,36.69681,59.6611345368,10.6749800000,6614864.165,594373.702
38.32367,36.69681,59.6611345368,10.6749800000,6614864.165,594373.702
38.47170,36.69681,59.6611345368,10.6749800000,6614864.165,594373.702
38.63950,36.69681,59.6611345368,10.6749800000,6614864.165,594373.702
38.81628,36.69681,59.6611345368,10.6749800000,6614864.165,594373.702
38.97446,36.69681,59.6611345368,10.6749800000,6614864.165,594373.702
39.14370,36.69681,59.6611345368,10.6749800000,6614864.165,594373.702
39.14370,38.68971,59.6611399763,10.6749941567,6614864.791,594374.485
39.28973,39.69248,59.6611418555,10.6749987883,6614865.007,594374.740
39.48282,39.69248,59.6611418555,10.6749987883,6614865.007,594374.740
39.55122,39.69248,59.6611418555,10.6749987883,6614865.007,594374.740
39.74267,39.69248,59.6611418555,10.6749987883,6614865.007,594374.740
