Img_Time(Sec),IMU_Time(Sec),Roll(rad),Pitch(rad),Yaw(rad)
55.02140,55.02218,-0.04208,-0.10705,0.18731
55.16457,55.16770,-0.04130,-0.10784,0.18974
55.16457,55.69408,-0.04316,-0.10829,0.18091
55.32971,55.69408,-0.04316,-0.10829,0.18091
55.49709,55.69408,-0.04316,-0.10829,0.18091
55.66490,55.69408,-0.04316,-0.10829,0.18091
55.83329,55.84054,-0.04379,-0.10954,0.17820
56.01683,56.02744,-0.04240,-0.11171,0.17722
56.16794,56.16125,-0.04098,-0.11216,0.17875
56.34078,56.33505,-0.03984,-0.11152,0.18126
56.49947,56.45458,-0.03781,-0.11183,0.18343
56.68395,56.68282,-0.03522,-0.11197,0.18670
56.85167,56.82924,-0.03441,-0.11130,0.18843
56.99880,56.98860,-0.03442,-0.11068,0.18948
57.16940,57.18934,-0.03407,-0.11093,0.19047
57.33341,57.33572,-0.03376,-0.11286,0.19101
57.50051,57.48331,-0.03356,-0.11320,0.19191
57.66686,57.65622,-0.03265,-0.11215,0.19264
57.83552,57.82957,-0.03317,-0.11049,0.19349
58.00219,58.00480,-0.03316,-0.11053,0.19357
58.16672,58.16324,-0.03230,-0.11401,0.19607
58.33486,58.29629,-0.03202,-0.11473,0.19674
58.51053,58.53685,-0.03258,-0.11451,0.19769
58.69172,58.69677,-0.03378,-0.11403,0.19946
58.83522,58.81800,-0.03429,-0.11264,0.20159
59.01862,59.03178,-0.03597,-0.11231,0.20240
59.17213,59.19239,-0.03536,-0.11153,0.20387
59.36068,59.36469,-0.03548,-0.11176,0.20492
59.50556,59.49871,-0.03416,-0.11205,0.20500
59.66916,59.63171,-0.03457,-0.11315,0.20042
59.85311,59.87217,-0.03486,-0.11452,0.18875
60.00322,60.00534,-0.03592,-0.11436,0.17414
60.18788,60.19195,-0.03647,-0.11308,0.16788
60.33979,60.32658,-0.03776,-0.11267,0.16572
60.51042,60.51393,-0.03827,-0.11245,0.16550
60.69441,60.75391,-0.03720,-0.11211,0.16705
