Img_Time(Sec),GPS_Time(Sec),Lat(deg),Long(deg),UTM_x(m),UTM_y(m)
254.44253,245.48161,59.6612409338,10.6752209900,6614876.354,594386.980
254.62020,245.48161,59.6612409338,10.6752209900,6614876.354,594386.980
254.77629,245.48161,59.6612409338,10.6752209900,6614876.354,594386.980
254.94537,245.48161,59.6612409338,10.6752209900,6614876.354,594386.980
255.11142,245.48161,59.6612409338,10.6752209900,6614876.354,594386.980
255.29927,245.48161,59.6612409338,10.6752209900,6614876.354,594386.980
255.44318,245.48161,59.6612409338,10.6752209900,6614876.354,594386.980
255.60911,245.48161,59.6612409338,10.6752209900,6614876.354,594386.980
255.77620,245.48161,59.6612409338,10.6752209900,6614876.354,594386.980
255.94480,245.48161,59.6612409338,10.6752209900,6614876.354,594386.980
256.11160,245.48161,59.6612409338,10.6752209900,6614876.354,594386.980
256.27725,245.48161,59.6612409338,10.6752209900,6614876.354,594386.980
256.45334,245.48161,59.6612409338,10.6752209900,6614876.354,594386.980
256.60872,245.48161,59.6612409338,10.6752209900,6614876.354,594386.980
256.77742,245.48161,59.6612409338,10.6752209900,6614876.354,594386.980
256.94251,245.48161,59.6612409338,10.6752209900,6614876.354,594386.980
257.13882,245.48161,59.6612409338,10.6752209900,6614876.354,594386.980
257.27969,245.48161,59.6612409338,10.6752209900,6614876.354,594386.980
257.44407,245.48161,59.6612409338,10.6752209900,6614876.354,594386.980
257.60865,245.48161,59.6612409338,10.6752209900,6614876.354,594386.980
257.77531,245.48161,59.6612409338,10.6752209900,6614876.354,594386.980
257.94398,245.48161,59.6612409338,10.6752209900,6614876.354,594386.980
258.11252,245.48161,59.6612409338,10.6752209900,6614876.354,594386.980
258.27668,245.48161,59.6612409338,10.6752209900,6614876.354,594386.980
258.44266,245.48161,59.6612409338,10.6752209900,6614876.354,594386.980
258.60864,245.48161,59.6612409338,10.6752209900,6614876.354,594386.980
258.77568,245.48161,59.6612409338,10.6752209900,6614876.354,594386.980
258.94285,245.48161,59.6612409338,10.6752209900,6614876.354,594386.980
259.05336,245.48161,59.6612409338,10.6752209900,6614876.354,594386.980
259.19661,245.48161,59.6612409338,10.6752209900,6614876.354,594386.980
259.19661,259.47554,59.6612130302,10.6751481267,6614873.144,594382.953
259.36928,259.47554,59.6612130302,10.6751481267,6614873.144,594382.953
259.52750,259.47554,59.6612130302,10.6751481267,6614873.144,594382.953
259.74008,259.47554,59.6612130302,10.6751481267,6614873.144,594382.953
259.90171,259.47554,59.6612130302,10.6751481267,6614873.144,594382.953
260.02266,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
260.23116,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
260.35449,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
260.53124,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
260.68543,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
260.85209,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
261.01599,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
261.18397,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
261.36546,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
261.55629,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
261.68109,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
261.84510,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
262.00965,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
262.17566,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
262.34511,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
262.52975,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
262.72208,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
262.84006,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
263.00296,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
263.17240,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
263.37138,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
263.50011,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
263.67416,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
263.83111,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
263.99657,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
264.16227,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
264.34488,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
264.49473,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
264.66058,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
264.84881,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
265.00052,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
265.16394,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
265.33319,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
265.48894,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
265.65780,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
265.81961,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
265.98447,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
266.17936,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
266.31455,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
266.48321,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
266.64647,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
266.82435,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
266.97724,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
267.14699,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
267.31105,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
267.51011,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
267.64027,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
267.80575,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
267.98007,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
268.17814,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
268.30300,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
268.47006,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
268.63640,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
268.79806,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
268.96925,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
269.17174,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
269.29469,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
269.46564,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
269.67650,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
269.79358,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
270.01353,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
270.15679,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
270.28777,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
270.45810,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
270.62330,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
270.78768,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
270.96319,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
271.11650,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
271.33202,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
271.44765,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
271.61591,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
271.80914,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
271.94851,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
272.15313,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
272.27919,260.47145,59.6612112220,10.6751432933,6614872.936,594382.686
