Time(Sec),Lat(deg),Long(deg),UTM_x(m),UTM_y(m)
23.4163775444,59.6616827225,10.6763385167,6614927.1319704130,594448.6933025545
24.4163560867,59.6616805760,10.6763335400,6614926.8859007293,594448.4189815046
25.4587666988,59.6616785677,10.6763288667,6614926.6556459619,594448.1613599650
26.4024980068,59.6616766005,10.6763240700,6614926.4297991637,594447.8966747158
27.3746008873,59.6616745488,10.6763195200,6614926.1948952498,594447.6461228828
28.8083560467,59.6616726417,10.6763148100,6614925.9758521225,594447.3861511539
29.3870759010,59.6616707617,10.6763104383,6614925.7603151230,594447.1451628045
30.6536970139,59.6616688855,10.6763055417,6614925.5444579236,594446.8745880824
31.3998107910,59.6616668227,10.6763008583,6614925.3081210814,594446.6165562725
32.3858273029,59.6616649340,10.6762962700,6614925.0913109081,594446.3633864170
33.4256734848,59.6616628308,10.6762913117,6614924.8500921559,594446.0899760007
34.4017829895,59.6616610582,10.6762868683,6614924.6464036126,594445.8446483676
34.4017829895,59.6616591470,10.6762820217,6614924.4267208027,594445.5769886349
35.3740761280,59.6616570912,10.6762773167,6614924.1911325920,594445.3177164008
36.4275791645,59.6616552122,10.6762727200,6614923.9753869260,594445.0640497565
37.3734841347,59.6616532088,10.6762678750,6614923.7454448314,594444.7967430023
38.5998244286,59.6616514125,10.6762633867,6614923.5390573340,594444.5489467287
39.3857805729,59.6616494218,10.6762586650,6614923.3107010480,594444.2885522061
40.3587088585,59.6616479573,10.6762550417,6614923.1424902109,594444.0885520299
41.3712887764,59.6616465860,10.6762517250,6614922.9850887647,594443.9055657416
42.3844418526,59.6616450475,10.6762484500,6614922.8091345048,594443.7253967902
43.3703815937,59.6616436218,10.6762450583,6614922.6455769688,594443.5383381748
44.3967642784,59.6616424190,10.6762417183,6614922.5069029117,594443.3535635370
45.3696045876,59.6616409912,10.6762383767,6614922.3431752976,594443.1693277057
46.3691868782,59.6616399115,10.6762359317,6614922.2194878943,594443.0346260298
47.3689732552,59.6616381688,10.6762319150,6614922.0197467832,594442.8132497324
48.3686668873,59.6616361198,10.6762271683,6614921.7848602980,594442.5516106703
49.3935244083,59.6616341855,10.6762226167,6614921.5630181106,594442.3006343513
50.3942880630,59.6616324315,10.6762180417,6614921.3612208059,594442.0478364314
50.3942880630,59.6616305830,10.6762132250,6614921.1485581771,594441.7816900542
51.3939864635,59.6616287205,10.6762083600,6614920.9342680564,594441.5128601815
52.4203228951,59.6616268173,10.6762037433,6614920.7158035124,594441.2581343618
53.4453077316,59.6616248463,10.6761989983,6614920.4896039236,594440.9963696661
54.3796210289,59.6616232145,10.6761943567,6614920.3013137262,594440.7394724410
55.4169065952,59.6616212388,10.6761894883,6614920.0744191185,594440.4707728868
56.3925771713,59.6616193462,10.6761846967,6614919.8568747127,594440.2061588852
57.4057950974,59.6616173892,10.6761799783,6614919.6322718812,594439.9458569513
58.3782606125,59.6616155520,10.6761752633,6614919.4210158894,594439.6854058033
59.4579002857,59.6616135217,10.6761706083,6614919.1883383701,594439.4288778680
60.4709758759,59.6616115698,10.6761658683,6614918.9642800149,594439.1673407312
61.4059934616,59.6616096100,10.6761609883,6614918.7391317850,594438.8979392267
62.4036281109,59.6616077292,10.6761562317,6614918.5229547983,594438.6352634723
63.3897860050,59.6616057415,10.6761515950,6614918.2950538835,594438.3796482343
64.4023299217,59.6616036903,10.6761470150,6614918.0601636050,594438.1274038098
65.3877737522,59.6616017948,10.6761422983,6614917.8424106184,594437.8670225848
65.3877737522,59.6616000118,10.6761375967,6614917.6372045847,594437.6071700108
66.3764784336,59.6615980518,10.6761326483,6614917.4119406920,594437.3339192586
67.3766314983,59.6615960647,10.6761279467,6614917.1840030607,594437.0746407139
68.3797483444,59.6615940828,10.6761231783,6614916.9565644041,594436.8115915051
69.3774292469,59.6615923750,10.6761184750,6614916.7597250286,594436.5514335635
70.4263172150,59.6615904300,10.6761137367,6614916.5364300646,594436.2899707598
71.3893768787,59.6615883893,10.6761087383,6614916.3021138180,594436.0141299409
72.3759930134,59.6615863152,10.6761040017,6614916.0644400204,594435.7531241574
73.3788938522,59.6615846915,10.6760993517,6614915.8770476002,594435.4957339463
74.3781814575,59.6615825595,10.6760946217,6614915.6329442430,594435.2352662799
