Time(ROS) Frame LO(m) AO(deg)
1570701351.743840456 1039 -0.06415 6.92539
1570701351.909632921 1040 -0.06501 6.98326
1570701352.747721910 1041 -0.06421 7.03426
1570701352.242377043 1042 -0.06260 7.03827
1570701352.404414654 1043 -0.06131 7.10129
1570701352.618537188 1044 -0.06000 7.28235
1570701352.764379978 1045 -0.06105 7.34537
1570701352.901387930 1046 -0.06017 7.40095
1570701353.697256804 1047 -0.05985 7.44564
1570701353.232536316 1048 -0.06023 7.51210
1570701353.399313450 1049 -0.05643 7.59862
1570701353.564295769 1050 -0.05865 7.74472
1570701353.750208616 1051 -0.05967 7.78196
1570701353.904411316 1052 -0.05892 7.78025
1570701354.615579128 1053 -0.05739 7.78139
1570701354.225764990 1054 -0.05614 7.85874
1570701354.401277781 1055 -0.05925 7.95271
1570701354.557908773 1056 -0.06075 8.06443
1570701354.736958027 1057 -0.06035 8.09194
1570701354.890583754 1058 -0.05907 8.11084
1570701355.538449287 1059 -0.05892 8.17100
1570701355.224397898 1060 -0.06144 8.28388
1570701355.427721262 1061 -0.06529 8.73605
1570701355.550787687 1062 -0.06442 8.75668
1570701355.717565298 1063 -0.06189 8.79048
1570701355.882563353 1064 -0.06142 8.85351
1570701356.524221897 1065 -0.06246 8.97383
1570701356.216847658 1066 -0.06418 9.08670
1570701356.391604900 1067 -0.05987 9.16692
1570701356.544132233 1068 -0.05932 9.25515
1570701356.710411787 1069 -0.05890 9.30844
1570701356.879383802 1070 -0.05982 9.19270
1570701357.444108486 1071 -0.06005 8.94518
1570701357.208678961 1072 -0.05847 8.55099
1570701357.376200914 1073 -0.05599 8.27711
1570701357.560256004 1074 -0.05279 8.15450
1570701357.741731644 1075 -0.05045 8.19289
1570701357.869206429 1076 -0.05104 8.27941
1570701358.462562561 1077 -0.05288 8.37910
1570701358.239774227 1078 -0.05381 8.41921
1570701358.365872860 1079 -0.05366 8.47020
1570701358.533318520 1080 -0.05420 8.55786
1570701358.714470625 1081 -0.05635 8.71600
1570701358.878719807 1082 -0.05812 8.86153
1570701359.316106319 1083 -0.05812 8.72459
1570701359.198379755 1084 -0.05536 8.42379
1570701359.358662844 1085 -0.05120 8.01642
1570701359.524822950 1086 -0.04861 7.72650
1570701359.690037251 1087 -0.04821 7.74885
1570701359.857738495 1088 -0.04847 7.83651
1570701360.230868816 1089 -0.04761 7.86802
1570701360.188516378 1090 -0.04488 7.92704
1570701360.371554136 1091 -0.04221 7.98376
1570701360.559401035 1092 -0.04281 8.11841
1570701360.683263302 1093 -0.04438 8.21466
1570701360.850818396 1094 -0.04456 8.30691
1570701361.263660908 1095 -0.04409 8.41577
1570701361.188589096 1096 -0.04587 8.48854
1570701361.347878695 1097 -0.04909 8.60943
1570701361.511424780 1098 -0.05106 8.71543
1570701361.676842928 1099 -0.05267 8.79679
1570701361.843447924 1100 -0.05300 8.78647
1570701362.107146263 1101 -0.05234 8.62433
1570701362.178576708 1102 -0.05066 8.38941
1570701362.339145660 1103 -0.05117 8.35676
1570701362.530368567 1104 -0.05205 8.34873
1570701362.671141624 1105 -0.05410 8.38999
1570701362.847505331 1106 -0.05536 8.44843
1570701363.128338575 1107 -0.05607 8.54469
1570701363.207255840 1108 -0.05887 8.66558
1570701363.334934711 1109 -0.06034 8.76126
1570701363.540149450 1110 -0.06053 8.85752
1570701363.666318655 1111 -0.05998 8.92628
1570701363.873744726 1112 -0.06074 9.01394
1570701363.997281551 1113 -0.06148 9.08556
1570701364.177428722 1114 -0.06191 9.13655
1570701364.327245951 1115 -0.06207 9.18411
1570701364.494470119 1116 -0.06216 9.24312
1570701364.661168098 1117 -0.06150 9.26432
1570701364.826891661 1118 -0.06077 9.28094
1570701364.994518518 1119 -0.06083 9.38235
1570701365.160095692 1120 -0.06166 9.46199
1570701365.326827526 1121 -0.06139 9.55023
1570701365.493984222 1122 -0.05960 9.63101
1570701365.659291983 1123 -0.05800 9.57716
1570701365.825822115 1124 -0.02015 9.32573
1570701365.992462397 1125 -0.02015 9.32573
1570701366.160417318 1126 -0.02015 9.32573
1570701366.327056170 1127 -0.02015 9.32573
1570701366.491820097 1128 -0.02015 9.32573
1570701366.658665419 1129 -0.01242 9.32573
1570701366.826498747 1130 -0.01242 9.32573
1570701366.992380381 1131 -0.01242 9.32573
1570701367.158842087 1132 -0.01242 9.32573
1570701367.326371193 1133 -0.01225 9.31140
1570701367.492163897 1134 -0.00981 8.93898
1570701367.657257080 1135 -0.00317 8.47431
1570701367.824118853 1136 -0.00207 8.09616
1570701367.990945816 1137 -0.00307 8.06178
1570701368.156764507 1138 -0.00401 8.06407
1570701368.328503370 1139 -0.00358 8.11392
1570701368.495004654 1140 -0.00456 8.17752
1570701368.656405449 1141 -0.00338 8.24971
1570701368.823033810 1142 -0.00540 8.32305
1570701368.989238262 1143 -0.00702 8.39524
1570701369.155932903 1144 -0.00650 8.49436
1570701369.322105408 1145 -0.00606 8.55911
1570701369.489026308 1146 -0.00517 8.56942
1570701369.655095816 1147 -0.00836 8.60896
1570701369.822613478 1148 -0.00745 8.64677
1570701369.995383978 1149 -0.00617 8.70006
1570701370.154778242 1150 -0.00872 8.78199
1570701370.322512865 1151 -0.00943 8.80835
1570701370.488485336 1152 -0.01052 8.90002
1570701370.655277729 1153 -0.01891 8.85435
1570701370.820460320 1154 -0.01926 8.92597
1570701370.994171858 1155 -0.01894 8.97811
1570701371.154173136 1156 -0.01928 9.03712
1570701371.321004629 1157 -0.02070 9.14484
1570701371.486715078 1158 -0.02250 9.24511
1570701371.653101683 1159 -0.01771 9.33563
1570701371.819625139 1160 -0.01820 9.42788
1570701371.992768526 1161 -0.01767 9.44335
1570701372.109008312 1162 -0.01682 9.43246
1570701372.275778770 1163 -0.01844 9.52471
1570701372.439853430 1164 -0.02163 9.64331
1570701372.645888567 1165 -0.01915 9.75676
1570701372.771074772 1166 -0.01805 9.73269
1570701372.985203266 1167 -0.01600 9.70634
1570701373.102344513 1168 -0.01400 9.58029
1570701373.285039425 1169 -0.01456 9.56424
1570701373.433624983 1170 -0.01587 9.55107
1570701373.600723267 1171 -0.01547 9.34022
1570701373.780950785 1172 -0.01649 9.31272
1570701373.948750257 1173 -0.01730 9.29209
1570701374.965365171 1174 -0.01765 9.36944
1570701374.262386560 1175 -0.01713 9.44049
1570701374.431105375 1176 -0.01683 9.52872
1570701374.593759298 1177 -0.01745 9.61753
1570701374.759199381 1178 -0.01856 9.64675
1570701374.923368692 1179 -0.01949 9.70978
1570701375.100470066 1180 -0.02000 9.79973
1570701375.256357431 1181 -0.01974 9.81405
1570701375.425142050 1182 -0.01694 9.60378
1570701375.589468241 1183 -0.01498 9.49549
1570701375.752875090 1184 -0.01557 9.52185
1570701375.918384314 1185 -0.01723 9.43705
1570701376.150711775 1186 -0.01528 9.28120
1570701376.248232365 1187 -0.01465 9.22964
1570701376.422891617 1188 -0.01367 9.01077
1570701376.579915524 1189 -0.01344 8.98957
1570701376.745418310 1190 -0.01461 9.07780
1570701376.910744667 1191 -0.01469 9.11562
1570701377.771520615 1192 -0.01327 9.15859
1570701377.241805315 1193 -0.01388 9.20844
1570701377.408284664 1194 -0.01609 9.21818
