Time(Sec), LO(m), AO(deg)
423.0000000000,-0.4140341345,2.6613164884
424.0000000000,-0.3798470789,10.5071535026
425.0000000000,-0.3309161651,19.6169572264
426.0000000000,-0.2987742238,-1.0328650948
427.0000000000,-0.2941558831,-10.0910906402
428.0000000000,-0.2493193491,10.4310644620
429.0000000000,-0.1799094819,21.7103292623
430.0000000000,-0.1581104313,-2.9840413915
431.0000000000,-0.1408669252,-3.8899328978
432.0000000000,-0.1111001551,-0.5634981522
433.0000000000,-0.0930428475,-3.4717094172
434.0000000000,-0.0856872675,-8.3995242290
435.0000000000,-0.0723438162,-5.4139518475
436.0000000000,-0.0641900081,-8.1702495660
437.0000000000,-0.0618939620,-11.1811380375
438.0000000000,-0.0517656836,-7.6233757974
439.0000000000,-0.0468442219,-9.7554436731
440.0000000000,-0.0402030804,-8.8449329321
441.0000000000,-0.0381903097,-11.4064053068
442.0000000000,-0.0345685804,-10.5845139505
443.0000000000,-0.0320307827,-11.0602745298
444.0000000000,-0.0287048172,-10.8125374804
445.0000000000,-0.0304887895,-13.5780286727
446.0000000000,-0.0294716206,-11.9893394659
447.0000000000,-0.0312881217,-13.5553156126
448.0000000000,-0.0450492189,-20.3971036315
449.0000000000,-0.0391990451,-8.8649424419
450.0000000000,-0.0341941272,-8.1514199677
451.0000000000,-0.0277896922,-8.8219650100
452.0000000000,-0.0266176236,-11.9698802625
453.0000000000,-0.0273233396,-12.9523567055
454.0000000000,-0.0247213807,-9.8736084438
455.0000000000,-0.0231321927,-11.3538612943
456.0000000000,-0.0425883035,-23.9875478086
457.0000000000,-0.0376978574,-9.9992042781
458.0000000000,-0.0402069743,-13.9578323136
459.0000000000,-0.0382468006,-11.5709334795
460.0000000000,-0.0491299912,-18.1862260841
461.0000000000,-0.0627925466,-19.1689284488
462.0000000000,-0.0908582507,-22.4746172077
463.0000000000,-0.1184678519,-24.4952897864
464.0000000000,-0.1447759795,-25.3443568393
465.0000000000,-0.1954732030,-32.2136830533
466.0000000000,-0.2154790225,-23.2295870840
467.0000000000,-0.2480292785,-29.0624655730
468.0000000000,-0.2762805080,-27.2259138195
469.0000000000,-0.2935366340,-22.2667039249
470.0000000000,-0.3101773344,-21.1112949330
471.0000000000,-0.3237232776,-20.6706070776
472.0000000000,-0.3405366589,-21.3247305642
473.0000000000,-0.3570435237,-22.0514018567
474.0000000000,-0.3724790198,-22.1303154104
475.0000000000,-0.3838443155,-18.1233286562
476.0000000000,-0.3951631523,-19.7350401167
477.0000000000,-0.4022866028,-16.7478081571
