Time(ROS) Frame LO(m) AO(deg)
1570713038.524790525 0327 -0.04233 -2.58931
1570713038.693675995 0328 -0.04184 -2.55952
1570713038.857986212 0329 -0.04164 -2.58473
1570713039.366683006 0330 -0.04351 -2.61051
1570713039.187989950 0331 -0.04392 -2.58530
1570713039.390847206 0332 -0.05217 -2.49076
1570713039.520020008 0333 -0.05243 -2.45810
1570713039.685432434 0334 -0.05009 -2.36528
1570713039.897439957 0335 -0.04642 -2.28507
1570713040.160543680 0336 -0.04665 -2.25642
1570713040.184070110 0337 -0.04633 -2.18537
1570713040.352084637 0338 -0.05338 -2.32747
1570713040.515921354 0339 -0.05485 -2.64374
1570713040.680953503 0340 -0.05511 -3.05913
1570713040.849987030 0341 -0.05492 -3.14852
1570713041.176558733 0342 -0.05643 -3.18175
1570713041.174126625 0343 -0.05747 -3.16112
1570713041.339729786 0344 -0.06141 -4.62200
1570713041.505454302 0345 -0.06158 -4.60252
1570713041.671825171 0346 -0.06109 -4.60882
1570713041.877204895 0347 -0.05940 -4.52287
1570713042.371670485 0348 -0.06012 -4.54866
1570713042.168810606 0349 -0.06027 -4.53433
1570713042.350609541 0350 -0.05521 -4.46386
1570713042.498884439 0351 -0.05555 -4.45527
1570713042.670025587 0352 -0.05477 -4.39854
1570713042.832450628 0353 -0.05490 -4.33494
1570713042.995995522 0354 -0.05673 -4.32520
1570713043.161730766 0355 -0.05582 -4.33666
1570713043.326702833 0356 -0.05335 -4.25129
1570713043.495073795 0357 -0.05096 -4.14988
1570713043.687653542 0358 -0.05100 -4.18483
1570713043.825175524 0359 -0.05031 -4.18655
1570713043.993089199 0360 -0.05201 -4.19915
1570713044.185392380 0361 -0.05388 -4.22494
1570713044.320540667 0362 -0.05560 -4.23410
1570713044.490442038 0363 -0.05853 -4.19629
1570713044.660684824 0364 -0.06121 -4.28452
1570713044.819503069 0365 -0.05937 -4.22666
1570713044.984220266 0366 -0.05834 -4.21978
1570713045.164657593 0367 -0.05740 -4.20316
1570713045.317344427 0368 -0.05573 -4.21577
1570713045.482594728 0369 -0.05772 -4.23296
1570713045.694248915 0370 -0.05753 -4.18999
1570713045.810866117 0371 -0.05626 -4.15446
1570713045.977716446 0372 -0.05775 -4.13326
1570713046.142376900 0373 -0.05732 -4.05076
1570713046.310271263 0374 -0.05672 -3.99575
1570713046.488993645 0375 -0.05596 -3.93387
1570713046.644695044 0376 -0.05536 -3.94018
1570713046.804237604 0377 -0.05288 -3.86569
1570713046.989435911 0378 -0.04662 -2.80422
1570713047.135871172 0379 -0.04662 -2.80422
1570713047.303743601 0380 -0.04662 -2.80422
1570713047.471509933 0381 -0.04662 -2.80422
1570713047.635014534 0382 -0.06105 -2.77500
1570713047.798295021 0383 -0.06170 -2.72917
1570713047.963211060 0384 -0.06070 -2.66213
1570713048.129734516 0385 -0.06136 -2.61515
1570713048.297054768 0386 -0.06270 -2.59338
1570713048.471256971 0387 -0.06152 -2.55613
1570713048.685306787 0388 -0.07387 -3.12095
1570713048.799738407 0389 -0.07532 -3.07683
1570713048.960559130 0390 -0.07261 -2.97541
1570713049.127312422 0391 -0.07192 -2.98401
1570713049.294971228 0392 -0.07258 -2.96396
1570713049.480356216 0393 -0.06878 -2.84306
1570713049.628604889 0394 -0.07100 -2.92098
1570713049.794841290 0395 -0.07191 -2.80696
1570713049.964691639 0396 -0.07023 -2.73248
1570713050.128236532 0397 -0.06812 -2.71586
1570713050.296415329 0398 -0.07244 -3.05964
1570713050.463185310 0399 -0.07570 -3.49394
1570713050.628371000 0400 -0.06341 -3.92710
1570713050.795955420 0401 -0.06193 -3.92939
1570713050.960881472 0402 -0.06067 -3.90934
1570713051.127545834 0403 -0.05866 -3.80620
1570713051.294766903 0404 -0.06285 -3.80105
1570713051.466363907 0405 -0.06665 -4.12821
1570713051.640253782 0406 -0.05290 -4.66570
1570713051.810412407 0407 -0.05669 -4.98885
1570713051.961693287 0408 -0.05652 -5.02724
1570713052.128840685 0409 -0.05355 -4.87483
1570713052.295406818 0410 -0.05490 -4.86280
1570713052.477793932 0411 -0.05428 -4.70294
1570713052.628961802 0412 -0.05817 -4.63591
1570713052.795819283 0413 -0.05778 -4.60325
1570713052.974865675 0414 -0.05614 -4.45485
1570713053.128267765 0415 -0.05483 -4.44568
1570713053.313114643 0416 -0.05460 -4.39985
1570713053.469931602 0417 -0.05364 -4.31906
1570713053.633139133 0418 -0.04769 -4.28239
1570713053.796263933 0419 -0.04813 -4.21707
1570713053.973654509 0420 -0.04550 -4.08701
1570713054.129152775 0421 -0.04235 -3.97643
1570713054.296616554 0422 -0.04116 -3.91112
1570713054.463336229 0423 -0.03811 -3.82345
1570713054.631681442 0424 -0.04286 -3.45670
1570713054.809541464 0425 -0.04105 -3.38450
1570713054.984834671 0426 -0.04013 -3.34153
1570713055.129283667 0427 -0.04038 -3.28825
1570713055.297163725 0428 -0.04229 -3.24470
1570713055.477986813 0429 -0.04255 -3.11865
1570713055.630126476 0430 -0.03988 -3.04130
1570713055.807372093 0431 -0.03938 -2.96453
1570713055.962830782 0432 -0.03776 -2.92442
1570713056.128955126 0433 -0.03922 -2.91582
1570713056.299230099 0434 -0.04221 -2.89634
1570713056.479103327 0435 -0.04247 -2.88947
1570713056.628865957 0436 -0.03527 -3.11750
1570713056.797992468 0437 -0.03998 -3.41086
1570713056.963502645 0438 -0.03720 -3.40628
1570713057.128883123 0439 -0.03391 -3.38737
1570713057.296183586 0440 -0.03609 -3.44295
1570713057.475644350 0441 -0.03542 -3.39252
1570713057.630972147 0442 -0.05998 -2.52277
