Time(ROS) Frame LO(m) AO(deg)
1570715333.343600035 0063 -0.07095 -5.34816
1570715333.511174440 0064 -0.07095 -5.34816
1570715333.677101612 0065 -0.06962 -5.34816
1570715333.847799301 0066 -0.06962 -5.34816
1570715334.307481050 0067 -0.06962 -5.34816
1570715334.181822062 0068 -0.06962 -5.34816
1570715334.344598532 0069 -0.06964 -5.34930
1570715334.510793447 0070 -0.06986 -5.36363
1570715334.678028107 0071 -0.06986 -5.36363
1570715334.858682871 0072 -0.06986 -5.36363
1570715335.103208303 0073 -0.06986 -5.36363
1570715335.199210405 0074 -0.06986 -5.36363
1570715335.342558146 0075 -0.06986 -5.36363
1570715335.509944439 0076 -0.03960 -3.85000
1570715335.679254293 0077 -0.03960 -3.85344
1570715335.844491959 0078 -0.03960 -3.85344
1570715336.136277199 0079 -0.03960 -3.85344
1570715336.178496361 0080 -0.03960 -3.85344
1570715336.355025530 0081 -0.03960 -3.85344
1570715336.523770809 0082 -0.02187 -3.85344
1570715336.678646088 0083 -0.02195 -3.85573
1570715336.844192266 0084 -0.02205 -3.86604
1570715337.109307766 0085 -0.02205 -3.86604
1570715337.176195145 0086 -0.02205 -3.86604
1570715337.356912136 0087 -0.02205 -3.86604
1570715337.513102055 0088 -0.02205 -3.86604
1570715337.677152634 0089 -0.01449 -3.86604
1570715337.845727444 0090 -0.01448 -3.86432
1570715338.134704113 0091 -0.01448 -3.86432
1570715338.189630747 0092 -0.01448 -3.86432
1570715338.343470335 0093 -0.01448 -3.86432
1570715338.510519743 0094 -0.01448 -3.86432
1570715338.676264048 0095 -0.01448 -3.86432
1570715338.765773773 0096 -0.01447 -3.85860
1570715338.935033560 0097 -0.00079 -2.16727
1570715339.126844883 0098 -0.00084 -2.17243
1570715339.263817310 0099 -0.00084 -2.17243
1570715339.427770376 0100 -0.00084 -2.17243
1570715339.603234768 0101 -0.00084 -2.17243
1570715339.801889181 0102 -0.00084 -2.17243
1570715339.923010588 0103 -0.00084 -2.17243
1570715340.124922752 0104 -0.00421 -2.17415
1570715340.255552292 0105 -0.00421 -2.17415
1570715340.424058199 0106 -0.00421 -2.17415
1570715340.635811806 0107 -0.00421 -2.17415
1570715340.751943827 0108 -0.00421 -2.17415
1570715340.954878569 0109 -0.00421 -2.17415
1570715341.902735472 0110 -0.00421 -2.17415
1570715341.250522852 0111 -0.00255 -2.17816
1570715341.432379007 0112 -0.00259 -2.17988
1570715341.620272398 0113 -0.00259 -2.17988
1570715341.746254683 0114 0.01411 -3.54487
1570715341.951244593 0115 0.01411 -3.54487
1570715342.833444118 0116 0.01411 -3.54487
1570715342.243389606 0117 0.03052 -5.73930
1570715342.429742575 0118 0.02963 -5.83555
1570715342.572752953 0119 0.03298 -5.71122
1570715342.740309000 0120 0.10971 2.28070
1570715342.908841372 0121 0.10929 2.33971
1570715343.713098526 0122 0.11109 2.38268
1570715343.235031605 0123 0.10846 2.31278
1570715343.401917934 0124 0.10976 2.35633
1570715343.566502094 0125 0.13435 2.43941
1570715343.733190298 0126 0.13340 2.37695
1570715343.899015665 0127 0.12885 2.31851
1570715344.636319160 0128 0.13308 2.47608
1570715344.231199026 0129 0.13425 2.51332
1570715344.399838209 0130 0.12935 2.44628
1570715344.559544086 0131 0.12772 2.43941
1570715344.725884438 0132 0.15377 2.36893
1570715344.891247749 0133 0.14834 2.34372
1570715345.595237017 0134 0.15042 2.45144
1570715345.260721207 0135 0.15301 2.44743
1570715345.387986660 0136 0.15460 2.48123
1570715345.557841301 0137 0.16003 2.67375
1570715345.759575605 0138 0.14998 4.23514
1570715345.885489464 0139 0.15110 4.29071
1570715346.538935184 0140 0.15449 3.90282
1570715346.254786015 0141 0.11720 0.66015
1570715346.380984068 0142 0.11575 0.54384
1570715346.561421156 0143 0.09690 -1.63569
1570715346.712709665 0144 0.04976 -1.76919
1570715346.878799438 0145 0.04875 -1.81446
1570715347.462530375 0146 0.04991 -1.73310
1570715347.217386723 0147 0.05240 -1.81618
1570715347.374811172 0148 0.04106 -3.01767
1570715347.563286781 0149 -0.05839 -4.56924
1570715347.705751181 0150 -0.06408 -5.32554
1570715347.903801680 0151 -0.06451 -5.60572
1570715348.392587662 0152 -0.06613 -5.63437
1570715348.204951048 0153 -0.06645 -5.51061
1570715348.371811628 0154 -0.06460 -5.34101
1570715348.533790588 0155 -0.06252 -5.24705
1570715348.702218294 0156 -0.09080 -5.17371
1570715348.866842270 0157 -0.08899 -5.12157
1570715349.413711548 0158 -0.08625 -4.95942
1570715349.202283144 0159 -0.08426 -4.89926
1570715349.362437248 0160 -0.08421 -4.86889
1570715349.527317524 0161 -0.08470 -4.78066
1570715349.692153931 0162 -0.10773 -3.69079
1570715349.861171246 0163 -0.10436 -3.58479
1570715350.238519430 0164 -0.10106 -3.47478
1570715350.190408945 0165 -0.10224 -3.40545
1570715350.354608297 0166 -0.10072 -3.27940
1570715350.520283222 0167 -0.09324 -3.06855
1570715350.686909199 0168 -0.11391 -2.99751
1570715350.854348421 0169 -0.11763 -2.95453
1570715351.208755255 0170 -0.11886 -2.87776
1570715351.184261084 0171 -0.11483 -2.67722
1570715351.348433018 0172 -0.11133 -2.56149
1570715351.516777992 0173 -0.11241 -2.50648
1570715351.681643009 0174 -0.13721 -2.39877
1570715351.846519709 0175 -0.13266 -2.19250
1570715352.183294535 0176 -0.12943 -2.05499
1570715352.198612452 0177 -0.13159 -1.97248
1570715352.345170259 0178 -0.13270 -1.87050
1570715352.510275602 0179 -0.12796 -1.66423
1570715352.678347111 0180 -0.13426 -1.58803
1570715352.850064754 0181 -0.13388 -1.44766
1570715353.170537472 0182 -0.13152 -1.25342
1570715353.215658665 0183 -0.12872 -1.11419
1570715353.343731403 0184 -0.13009 -1.11133
1570715353.510436296 0185 -0.13109 -1.10044
1570715353.676688194 0186 -0.14073 -1.07041
1570715353.844258308 0187 -0.14079 -0.96957
1570715354.133819103 0188 -0.13968 -0.91915
1570715354.179111004 0189 -0.13863 -0.83149
1570715354.344828844 0190 -0.13717 -0.68653
1570715354.509934187 0191 -0.13434 -0.56621
1570715354.678025484 0192 -0.13438 -0.61319
1570715354.843426943 0193 -0.13531 -0.53699
1570715355.131768703 0194 -0.13765 -0.49516
1570715355.178211689 0195 -0.13760 -0.48714
1570715355.355102062 0196 -0.13891 -0.45047
1570715355.509984016 0197 -0.13959 -0.44130
1570715355.678374290 0198 -0.13961 -0.34275
1570715355.846552372 0199 -0.09362 -0.21556
1570715356.117522001 0200 -0.09239 -0.19493
1570715356.177867413 0201 -0.09256 -0.23332
1570715356.362418652 0202 -0.09295 -0.23275
1570715356.511159182 0203 -0.09161 -0.18977
1570715356.678244114 0204 -0.08943 0.04342
1570715356.844491959 0205 0.00344 0.75999
1570715357.134081602 0206 0.01101 1.81252
1570715357.177482367 0207 0.01907 2.88883
1570715357.346418381 0208 0.02549 3.96542
1570715357.510124683 0209 0.02962 5.18697
1570715357.677021980 0210 0.03405 6.37070
1570715357.844814301 0211 0.07080 7.70168
1570715358.106513262 0212 0.07611 8.76967
1570715358.178070545 0213 0.08002 9.48473
1570715358.344034910 0214 0.07998 9.59359
1570715358.510213375 0215 0.07908 9.71792
1570715358.687932253 0216 0.08038 9.66234
1570715358.843990326 0217 0.12826 9.51509
1570715359.275316238 0218 0.12593 9.40050
1570715359.178994417 0219 0.12206 9.34206
1570715359.348506212 0220 0.11932 9.30252
1570715359.510829449 0221 0.11800 9.29450
1570715359.692246437 0222 0.11542 9.21200
1570715359.843562365 0223 0.13323 9.36413
1570715360.120302677 0224 0.13504 9.39851
1570715360.178631306 0225 0.13604 9.43232
1570715360.343448400 0226 0.13406 9.35955
1570715360.511535406 0227 0.13296 9.31142
1570715360.677723646 0228 0.13343 9.30283
1570715360.846403122 0229 0.17293 9.37788
1570715361.107421398 0230 0.17465 9.39565
1570715361.177397013 0231 0.17296 9.24037
1570715361.356832027 0232 0.17407 9.27533
1570715361.510166883 0233 0.17744 9.35554
1570715361.677857637 0234 0.17715 9.34293
1570715361.863283396 0235 0.17378 9.19511
1570715362.127961636 0236 0.17441 9.19225
1570715362.177894115 0237 0.17852 9.31142
1570715362.345642090 0238 0.17946 9.14240
1570715362.511470556 0239 0.17240 8.57059
1570715362.680927753 0240 0.16924 8.12884
1570715362.844597816 0241 0.11423 7.66245
1570715363.136434317 0242 0.10441 6.80530
1570715363.181177855 0243 0.09508 5.84732
1570715363.359220028 0244 0.08171 4.62348
1570715363.514167786 0245 0.07478 3.81733
1570715363.677356720 0246 0.06281 2.68459
1570715363.846588850 0247 -0.01621 1.22163
1570715364.118870974 0248 -0.02131 0.24301
1570715364.141397476 0249 -0.03068 -0.66054
1570715364.264229059 0250 -0.03536 -1.22777
1570715364.430669069 0251 -0.04099 -2.18346
1570715364.597114325 0252 -0.04412 -3.02571
1570715364.763056278 0253 -0.10949 -3.99401
1570715364.963285446 0254 -0.11967 -5.11987
1570715365.950163603 0255 -0.12345 -5.73294
1570715365.304920435 0256 -0.12740 -6.78775
1570715365.424647093 0257 -0.13257 -7.39222
1570715365.588899374 0258 -0.13944 -8.04310
1570715365.755724192 0259 -0.18692 -8.04597
1570715365.925330400 0260 -0.18555 -8.02591
1570715366.863187075 0261 -0.18430 -7.83798
1570715366.250945807 0262 -0.18077 -7.69131
1570715366.418119431 0263 -0.17504 -7.40769
1570715366.583547592 0264 -0.17484 -7.31602
1570715366.781436205 0265 -0.19017 -7.15731
1570715366.914952278 0266 -0.18647 -7.02725
1570715367.117983818 0267 -0.18200 -6.86911
1570715367.245431185 0268 -0.17834 -6.70582
1570715367.415643692 0269 -0.18187 -6.69092
1570715367.621189356 0270 -0.18169 -6.46231
1570715367.740289688 0271 -0.18104 -6.43252
1570715367.910655975 0272 -0.16595 -6.33972
1570715368.777818441 0273 -0.16855 -6.29675
1570715368.238669634 0274 -0.17060 -6.03949
1570715368.455200911 0275 -0.15687 -5.08666
1570715368.569354057 0276 -0.14259 -4.15274
1570715368.747002363 0277 -0.13423 -3.25033
