Time(Sec), LO(m), AO(deg)
77.0000000000,-0.0118749869,-2.8994390551
78.0000000000,0.0171873989,-3.4200287542
79.0000000000,0.0302406067,-1.8635547259
80.0000000000,0.0417228539,-1.7298095563
81.0000000000,0.0588356383,-2.4638913904
82.0000000000,0.0411983133,0.9013704125
83.0000000000,0.0438999076,-0.3547837853
84.0000000000,0.0420222776,0.2372250641
85.0000000000,-0.0180137901,3.2469428037
86.0000000000,0.0414282578,0.1048048466
87.0000000000,0.0475310858,-0.8121616750
88.0000000000,0.0261944031,2.7930632513
89.0000000000,-0.0086363739,0.2354257733
90.0000000000,-0.0021759535,0.8517058088
91.0000000000,-0.0054656595,-0.4649808001
92.0000000000,0.0249288844,-1.4546063649
93.0000000000,0.0019200819,3.3355372358
94.0000000000,0.0064800899,-0.6035880978
95.0000000000,0.0177093679,-1.2393935948
96.0000000000,0.0217195433,-0.5259560418
97.0000000000,0.0105417797,1.4279284080
98.0000000000,-0.0175809088,3.5054358590
99.0000000000,0.0063597476,-3.0699556725
100.0000000000,0.0309468345,-3.0886076751
101.0000000000,0.0467602054,-2.0276458762
102.0000000000,-0.0102806503,1.9894414768
103.0000000000,-0.0181711128,-0.9894646994
104.0000000000,0.0254687905,-0.9917338386
105.0000000000,0.0478585427,0.6128582974
106.0000000000,0.0417725002,0.7531210678
107.0000000000,0.0229531400,2.4670969750
108.0000000000,0.0049287402,1.3641913484
109.0000000000,0.0149383706,2.6053651442
110.0000000000,0.0032734797,-1.4410495919
111.0000000000,0.0005262446,-0.3548124171
112.0000000000,-0.0070827299,-1.1121018820
113.0000000000,-0.0091748456,-2.0644328873
114.0000000000,-0.0043067170,1.7999898459
115.0000000000,0.0055911710,1.1811762588
116.0000000000,0.0034371010,-1.1594474780
117.0000000000,0.0103292016,-0.8466805709
118.0000000000,0.0103757257,-0.5836006505
119.0000000000,0.0195924367,-1.1915599410
120.0000000000,0.0221419941,-0.3342331862
121.0000000000,0.0358764253,-1.2735468708
122.0000000000,0.0589218897,-2.8803784536
123.0000000000,0.0640540840,-0.4104322733
124.0000000000,0.0684432304,-0.5634869768
125.0000000000,0.0644484921,0.5197846336
126.0000000000,0.0620743421,0.3000528075
127.0000000000,0.0344787747,6.0219676220
128.0000000000,0.0299906095,0.5532521471
129.0000000000,0.0133867206,2.0679378436
130.0000000000,0.0136874726,-0.2497046817
131.0000000000,0.0245434547,-1.3003466270
132.0000000000,0.0152504270,-0.7219376239
133.0000000000,0.0232402941,-1.0272561244
