Time(Sec),LO(m),AO(deg)
267.0000000000,0.0847494872,2.1979122151
268.0000000000,0.0714209817,-0.5482704041
269.0000000000,0.0648006519,-1.1603237197
270.0000000000,0.0705237693,-1.3541334280
271.0000000000,0.0629994261,-1.3637626534
272.0000000000,0.0402118876,-4.0843352224
273.0000000000,0.0173822199,-4.0185092777
274.0000000000,-0.0020564810,-2.5348921490
275.0000000000,0.0415998774,9.0132154150
276.0000000000,0.0476885249,1.0604172360
277.0000000000,0.0642466166,2.3160862441
278.0000000000,0.0708629541,1.1492491868
279.0000000000,0.0640377043,-1.1786886845
280.0000000000,0.0581223893,0.8813120273
281.0000000000,0.0619683412,0.7065184709
282.0000000000,0.0689181165,1.1684427700
283.0000000000,0.0872166966,3.2730677866
284.0000000000,0.0750728703,-3.5801599674
285.0000000000,0.0696947190,-0.9588153854
286.0000000000,0.0806950815,2.0324337010
287.0000000000,0.0775054491,0.8988349850
288.0000000000,0.0584846728,-3.3370579786
289.0000000000,0.0634165365,-1.6504381335
290.0000000000,0.0527417039,-1.9011141508
291.0000000000,0.0533902411,0.1195061750
292.0000000000,0.0503325869,2.7440088088
293.0000000000,0.0812639264,5.9123259447
294.0000000000,0.0842003110,0.4961092906
295.0000000000,0.0931371933,1.5959888623
296.0000000000,0.1115006512,3.5797033436
297.0000000000,0.1131921316,0.2844314784
298.0000000000,0.1243165185,0.3807396699
299.0000000000,0.1419424831,3.1038357960
300.0000000000,0.1331479556,-1.5266056036
301.0000000000,0.1222457236,-1.6768862515
302.0000000000,0.1124644155,-1.6673340431
303.0000000000,0.1198837059,1.2944976294
304.0000000000,0.1213060908,1.4450914469
305.0000000000,0.1359048369,2.6549181296
306.0000000000,0.1332078920,-0.4624383945
307.0000000000,0.1524224212,2.0036865446
308.0000000000,0.1277954694,-3.9901149197
309.0000000000,0.1257088817,-0.3827553911
310.0000000000,0.1300426870,-0.6933697136
311.0000000000,0.1192851076,-1.8429985043
312.0000000000,0.1234874142,0.7753370161
313.0000000000,0.1204039849,2.6348368086
314.0000000000,0.1270707667,1.1556059359
315.0000000000,0.1436166200,3.1883608605
316.0000000000,0.1366124499,-1.1467487399
317.0000000000,0.1510707801,2.9294963752
318.0000000000,0.1478408829,-0.5469160343
319.0000000000,0.1348357977,-2.2044074758
320.0000000000,0.1247036232,-2.6500541509
321.0000000000,0.1359197584,2.0075380995
322.0000000000,0.1202402175,-1.7656708897
323.0000000000,0.1233205690,0.5446647265
324.0000000000,0.1199471940,-0.5898503852
325.0000000000,0.1361314423,2.8532579215
326.0000000000,0.1378884808,0.2507593984
327.0000000000,0.1282355436,-1.6747406091
328.0000000000,0.1307771070,0.4641660062
329.0000000000,0.1446848575,2.7890428863
330.0000000000,0.1267361452,-2.9901335149
331.0000000000,0.1207905443,-1.0013881482
332.0000000000,0.1215914872,0.1433012802
333.0000000000,0.1010905202,-3.6603613039
334.0000000000,0.0606431669,-7.0028318009
335.0000000000,0.0616180949,0.6797426122
336.0000000000,0.0636957565,0.3626882373
337.0000000000,0.0656907677,0.3601446706
338.0000000000,0.0458146528,0.3553567749
339.0000000000,0.0479936730,0.3952989573
340.0000000000,0.0637147005,2.7236764990
341.0000000000,0.0555777417,0.3624392246
342.0000000000,0.0660666753,1.9219139514
343.0000000000,0.0589174207,-1.2083080765
344.0000000000,0.0588668492,-2.1958845205
345.0000000000,0.0457887686,-2.3543100505
346.0000000000,0.0682264677,4.1900530244
347.0000000000,0.0659362665,-0.4079817567
348.0000000000,0.0661252489,1.5256771066
349.0000000000,0.0782047806,2.0649831664
350.0000000000,0.0902202276,2.3835707342
351.0000000000,0.0874552226,-0.9559965619
352.0000000000,0.0918298338,0.7395867329
353.0000000000,0.0704374159,-3.6998324432
354.0000000000,0.0880168835,1.3566418948
355.0000000000,0.0916701506,0.6332201484
356.0000000000,0.0830907903,-1.4871863517
357.0000000000,0.0684305196,-0.3159763099
358.0000000000,0.0634061274,-0.9054768394
359.0000000000,0.0570478710,-1.1059538582
360.0000000000,0.0555850795,-0.0895481116
361.0000000000,0.0606496223,0.9310508429
362.0000000000,0.0560604487,-0.8356246349
363.0000000000,0.0563133745,0.0442974150
364.0000000000,0.0000000000,38.1257468952
365.0000000000,0.0000000000,15.1940920025
366.0000000000,0.0000000000,35.8184891590
367.0000000000,0.0000000000,-79.4160137619
368.0000000000,0.0000000000,-66.4843558620
369.0000000000,0.0000000000,-178.7592165995
370.0000000000,0.0000000000,-151.0037582577
371.0000000000,0.0000000000,44.5892106396
